Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode...more,Fastrack,"₹1,509","₹1,399",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,"₹1,699","₹1,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
OXILAG Gen9 Ladies smartwatch with Two Straps Calling Notificatio...more,OXILAG,"₹1,478","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹885,"₹1,299",89% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2","BT Calling, Voice Assistant"
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,₹695,₹685,77% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"MVC ENTERPRISE Gen9 Smartwatch (Rose Gold, Pink Strap, FREE SIZE)",MVC,"₹1,199","₹1,199",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GameSir Active 2 Round Stay Connected with YouTube, Facebook, and...more",GameSir,"₹1,357","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,"₹1,509",₹697,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,299","₹1,199",78% OFF,Black,Metal,Round,"8""",LCD/TFT,NO,NO,YES,"Heart Rate, SpO2","BT Calling, Voice Assistant"
Vishaq Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,Vishaq,"₹1,461","₹1,349",70% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Women Men Heart Rate Blood Pressure Fitness Tracker Sport...more,GameSir,"₹1,365","₹1,328",73% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GameSir Active 2 Round Stay Connected with Fashion, Facebook, and...more",GameSir,"₹1,365","₹1,470",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,"₹1,499",₹879,65% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"Melbon LAXA-FIT 2.01 AMOLED Display, Smart Health Monitoring, Fit...more",Melbon,₹868,₹704,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹897,"₹1,615",85% OFF,Black,Leather,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹862,"₹1,199",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
"Pebble Vienna Women 1.27""Ultra HD Display,Diamond Cut Design, BT ...more",Pebble,"₹1,499","₹1,478",69% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,"₹1,499","₹2,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
GameSir Activ 2 Silicone Round Stay Connected with Health Fitness...more,GameSir,"₹2,164",₹862,62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Gen 9 Model : The Next Generation of women Fitness Yoga M...more,GameSir,"₹1,199","₹1,470",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,"₹2,164","₹4,999",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,"₹1,499","₹2,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Vibez by Lifelong Jewel Watch for Women with Bluetooth Calling & ...more,Vibez,"₹2,799","₹2,659",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449","₹1,399",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,"₹3,199","₹3,599",58% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449",₹879,85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Wyltron Stylish Smartwatch pink T55 series 8 Bluetooth Calling Fi...more,Wyltron,₹704,₹691,65% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"Nervfit New Launch Orion S1 1.43"" AMOLED with AOD, BT Calling, Pr...more",Nervfit,"₹2,499","₹1,470",76% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
GameSir Active 2 Grey Round Stay Connected with Health App Notifi...more,GameSir,"₹1,349","₹1,357",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"GameSir Active2 premium with pink Slicone strep ,advance feature ...more",GameSir,"₹1,351","₹1,349",87% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"Nervfit Pulse, 1.83"" TrueColor+ HD Display, Fitness, HR, BP Track...more",Nervfit,₹894,"₹1,209",79% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"Nervfit New ACTIV Pro 1.39"" TrueColor+ LED, BT Calls, Steps, HR, ...more",Nervfit,"₹1,699","₹2,099",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,₹861,₹707,65% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449","₹1,499",65% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,"₹3,599","₹4,999",58% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,"₹1,666","₹2,416",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"Maxima Max Pro Bliss 1.19"" Super HD Display, BT Calling, 600 Nits...more",Maxima,"₹2,499","₹2,374",87% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,"₹1,349","₹1,467",73% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,499",₹999,70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
Melbon Gen9 Trendy Design–The Perfect Valentine’s Gift for Your L...more,Melbon,"₹1,509","₹1,349",71% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling
"Nervfit Vibe 1.85"" TrueColor+ Super HD, BT Calls, Waterproof, HR,...more",Nervfit,₹697,"₹2,099",93% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
GameSir Gen 9 Metal Rose Gold Smart watch for Girls & Women Bluet...more,GameSir,"₹1,349","₹1,509",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
OXILAG Gen9 with Dual Straps Calling notification Waterproof Wome...more,OXILAG,"₹1,509","₹1,470",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹897,"₹1,615",85% OFF,Black,Leather,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
GameSir PF 9 Model : The Next Generation of women Fitness Yoga Mu...more,GameSir,"₹4,999","₹1,461",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,"₹1,478","₹1,509",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"Maxima Max Pro Velocity 1.83""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,"₹2,099","₹1,357",71% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,505","₹1,499",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"ATSK HUB Trendy latest Gen9 smartwatch, Golden & Pink strap ,hd d...more",ATSK,"₹1,349","₹1,351",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,"₹1,505","₹3,599",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,₹691,₹682,85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,"₹1,470","₹4,999",58% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GameSir Bluetooth Calling Smartwatch with Round HD Display, Fitne...more",GameSir,"₹1,349","₹1,470",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
WauroNix H6 Fitness Smart Watch with Long Battery Life & Sports M...more,WauroNix,₹674,₹624,77% OFF,Black,Metal,Round,"8""",LCD/TFT,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,₹695,₹691,65% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"Ezerio Gen 9 Smart Watch, Rose Gold, Pink Band,and Diamond Strap ...more",Ezerio,₹879,₹835,63% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
GameSir Gen 9 Gold With Silicone Pink Strep BT Calling for Womens...more,GameSir,"₹1,461","₹1,349",71% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹846,"₹1,399",89% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GameSir Active 2 Premium Smartwatch with BT Calling, TWS Connect,...more",GameSir,"₹1,349","₹1,349",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,₹697,"₹1,461",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,399","₹1,199",83% OFF,Black,Metal,Round,"8""",LCD/TFT,NO,NO,YES,"Heart Rate, SpO2","BT Calling, Voice Assistant"
"Nervfit Activ Pro 1.39'' TrueColor+ LED, BT, HR, Sp02, BP, Calori...more",Nervfit,"₹1,599","₹1,499",62% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, SpO2",BT Calling
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,₹685,₹879,65% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Mynx Gen 8 Model Fitness Health Music Smartwatch Smartwatch (Gold...more,Mynx,₹965,₹916,70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate","BT Calling, Voice Assistant"
GameSir Gen 9 Model Fitness Health Music Smartwatch: The Next Gen...more,GameSir,"₹4,999","₹1,461",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,₹691,₹699,76% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"PANKAJ ENTERPRISES T500 Pro HD Display Bluetooth Calling, Notific...more",PANKAJ,₹449,₹399,76% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹862,"₹1,199",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
PunnkFunnk Women & Men Heart Rate Blood Pressure Fitness Tracker ...more,PunnkFunnk,"₹2,999","₹2,999",82% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,"₹1,461","₹1,505",84% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,"₹24,999","₹4,499",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,₹698,₹695,65% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant"
"Nervfit New Launch Orion S1 1.43"" AMOLED with AOD, BT Calling, Pr...more",Nervfit,"₹1,505","₹2,499",44% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
OXILAG Gen9 with Dual Straps Calling notification Waterproof Wome...more,OXILAG,"₹4,999","₹1,478",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"Ezerio Gen 9 Smart Watch, Rose Gold, Pink Band,and Diamond Strap ...more",Ezerio,₹879,₹835,63% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,"₹1,470","₹1,478",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,"₹1,349","₹1,365",62% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant"
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,"₹1,505","₹24,999",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,199",₹29,85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GameSir Bluetooth Calling Smartwatch with Round HD Display, Fitne...more",GameSir,"₹1,349","₹1,470",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
GameSir Gen 9 Metal Rose Gold Smart watch for Girls & Women Bluet...more,GameSir,"₹1,509","₹1,461",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,199",₹29,85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Melbon Gen9 Trendy Design–The Perfect Valentine’s Gift for Your L...more,Melbon,"₹1,349","₹1,461",71% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"Nervfit Pulse, 1.83"" TrueColor+ HD Display, Fitness, HR, BP Track...more",Nervfit,"₹1,499","₹1,449",79% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,"₹1,467","₹1,470",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"Maxima Max Pro Velocity 1.83""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,"₹2,099","₹2,099",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,"₹1,461","₹1,349",73% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,"₹1,666","₹1,478",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,NO,Fitness Tracker,"BT Calling, Voice Assistant"
