Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions,brand,parent_company,Calculated Discount %,Discount Suspicious,Display Size (inches),Health Feature Count,Smart Feature Count,Price Anomaly
"RGV H9 BT Calling, Fitness tracking Multiple Watch Faces,Sleep Mo...more",RGV,682.0,691.0,85.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,RGV,RGV,1.3,True,8.0,5,1,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1470.0,4999.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,70.6,False,8.0,4,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,879.0,1449.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,39.3,True,8.0,1,2,False
"GameSir IPS HD Round Bluetooth Calling, 120 Sports Modes, Fitness...more",GameSir,1199.0,1599.0,93.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,25.0,True,8.0,5,2,False
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1470.0,1509.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,2.6,True,8.0,1,2,False
"S Traditional Trendy latest Gen9 smartwatch, Golden & Pink strap ...more",S,1478.0,4999.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",S,Unknown,70.4,False,8.0,4,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1449.0,1499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,3.3,True,8.0,2,2,False
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1099.0,1505.0,85.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,27.0,True,8.0,3,2,False
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,879.0,1299.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,32.3,True,8.0,2,1,False
"RGV H9 BT Calling, Fitness tracking Multiple Watch Faces,Sleep Mo...more",RGV,697.0,704.0,85.0,Black,Leather,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,RGV,RGV,1.0,True,8.0,5,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1499.0,1615.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,7.2,True,8.0,2,2,False
"Avonix Trendy latest Gen9 smartwatch, Golden & Pink strap ,hd dis...more",Avonix,1470.0,1509.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Avonix,Avonix,2.6,True,8.0,4,1,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,682.0,691.0,85.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,1.3,True,8.0,4,1,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,697.0,24999.0,85.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",WTG,WTG,97.2,False,8.0,5,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,888.0,895.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,0.8,True,8.0,1,2,False
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,1447.0,1509.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,4.1,True,8.0,1,2,False
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1199.0,1999.0,83.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,40.0,True,8.0,2,2,False
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,1470.0,1509.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,2.6,True,8.0,1,2,False
"Maxima Max Pro Infinity 2.01""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,1499.0,1499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",Maxima,Maxima,0.0,True,8.0,3,2,False
"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calling | AI Vo...more",PunnkFunnk,698.0,1199.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,PunnkFunnk,PunnkFunnk,41.8,True,8.0,2,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,895.0,1499.0,81.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,40.3,True,8.0,2,1,False
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,1505.0,2164.0,58.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fastrack,Titan Company Limited,30.5,True,8.0,3,2,False
"GameSir Active 2 Round Stay Connected with YouTube, Facebook, and...more",GameSir,1334.0,2099.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,36.4,True,8.0,4,2,False
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,1399.0,1499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fire-Boltt,Fire-Boltt,6.7,True,8.0,2,2,False
"GameSir Gen 9 Round Dial, Bluetoth calling, Health, Sport, Fashio...more",GameSir,1349.0,1461.0,62.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,7.7,True,8.0,4,1,False
"GameSir 5G Smartphone activepinkg, Women's Health suite, Sleek Di...more",GameSir,1349.0,1365.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,1.2,True,8.0,3,1,False
TECHMAZE Gen 9 Model Fitness Health Music Smartwatch: The Next Ge...more,TECHMAZE,1478.0,1499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,TECHMAZE,TECHMAZE,1.4,True,8.0,1,1,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,682.0,691.0,77.0,Black,Metal,"8""",LCD/TFT,False,False,True,Heart Rate,BT Calling,WTG,WTG,1.3,True,8.0,1,1,False
GameSir Gen 9 Model Fitness Health Music Play Smartwatch: The Nex...more,GameSir,1351.0,1461.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,7.5,True,8.0,3,1,False
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,697.0,712.0,77.0,Black,Leather,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,2.1,True,8.0,1,1,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1478.0,2164.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,31.7,True,8.0,3,1,False
"OXILAG Luxury Gen9 Girls smart watch with Extra strap , Calling N...more",OXILAG,1447.0,1461.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",OXILAG,OXILAG,1.0,True,8.0,3,2,False
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1499.0,1509.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,0.7,True,8.0,1,2,False
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness Tracker Sp...more,PunnkFunnk,2299.0,2299.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",PunnkFunnk,PunnkFunnk,0.0,True,8.0,3,2,False
Wyltron Smartwatch Black T55 series 8 Bluetooth Calling Fitness (...more,Wyltron,697.0,1615.0,74.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,Wyltron,Wyltron,56.8,True,8.0,3,1,False
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1349.0,1399.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,3.6,True,8.0,2,1,False
"MORDEN Active 2 Premium Smartwatch with BT Calling, GPS Tracking,...more",MORDEN,1349.0,1357.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,MORDEN,MORDEN,0.6,True,8.0,1,1,False
Luyten tech Latest Model of Gen 9 For GIrls & Women's Smartwatch ...more,Luyten,1199.0,1199.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,Luyten,Luyten,0.0,True,8.0,1,1,False
GameSir Silicone Active2 Smart Watch: Alloy Case and Super AMOLED...more,GameSir,1318.0,1349.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,2.3,True,8.0,3,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,885.0,1299.0,89.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,31.9,True,8.0,2,2,False
"MVC ENTERPRISE Gen9 Smartwatch (Rose Gold, Pink Strap, FREE SIZE)",MVC,1199.0,1199.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",MVC,Unknown,0.0,True,8.0,1,2,False
"GameSir Active 2 Round Stay Connected with Fashion, Facebook, and...more",GameSir,1365.0,1470.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,7.1,True,8.0,3,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,897.0,1615.0,85.0,Black,Leather,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,44.5,True,8.0,2,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,862.0,1199.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,28.1,True,8.0,2,1,False
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,1499.0,2499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fire-Boltt,Fire-Boltt,40.0,True,8.0,2,2,False
GameSir Gen 9 Model : The Next Generation of women Fitness Yoga M...more,GameSir,1199.0,1470.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GameSir,GameSir,18.4,True,8.0,1,2,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,2164.0,4999.0,70.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,56.7,False,8.0,3,1,False
GameSir Active 2 Grey Round Stay Connected with Health App Notifi...more,GameSir,1349.0,1357.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0.6,True,8.0,3,1,False
"Nervfit Pulse, 1.83"" TrueColor+ HD Display, Fitness, HR, BP Track...more",Nervfit,894.0,1209.0,79.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,Nervfit,Nervfit,26.1,True,8.0,2,1,False
"Nervfit New ACTIV Pro 1.39"" TrueColor+ LED, BT Calls, Steps, HR, ...more",Nervfit,1699.0,2099.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,19.1,True,8.0,3,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1449.0,1499.0,65.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,3.3,True,8.0,2,2,False
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1666.0,2416.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,31.0,True,8.0,1,2,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1349.0,1467.0,73.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,8.0,True,8.0,3,1,False
"Nervfit Vibe 1.85"" TrueColor+ Super HD, BT Calls, Waterproof, HR,...more",Nervfit,697.0,2099.0,93.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,66.8,True,8.0,2,2,False
GameSir Gen 9 Metal Rose Gold Smart watch for Girls & Women Bluet...more,GameSir,1349.0,1509.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,10.6,True,8.0,3,1,False
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,1478.0,1509.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,2.1,True,8.0,3,2,False
"ATSK HUB Trendy latest Gen9 smartwatch, Golden & Pink strap ,hd d...more",ATSK,1349.0,1351.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,ATSK,ATSK,0.1,True,8.0,3,1,False
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,1505.0,3599.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fastrack,Titan Company Limited,58.2,False,8.0,3,2,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1470.0,4999.0,58.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",WTG,WTG,70.6,False,8.0,1,2,False
"GameSir Bluetooth Calling Smartwatch with Round HD Display, Fitne...more",GameSir,1349.0,1470.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,GameSir,GameSir,8.2,True,8.0,1,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,846.0,1399.0,89.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,39.5,True,8.0,1,2,False
"GameSir Active 2 Premium Smartwatch with BT Calling, TWS Connect,...more",GameSir,1349.0,1349.0,62.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,GameSir,GameSir,0.0,True,8.0,1,1,False
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,697.0,1461.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,52.3,True,8.0,1,2,False
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,685.0,879.0,65.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",MBS,MBS,22.1,True,8.0,1,2,False
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,691.0,699.0,76.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,GameSir,GameSir,1.1,True,8.0,3,1,False
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1461.0,1505.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,2.9,True,8.0,4,1,False
"Nervfit New Launch Orion S1 1.43"" AMOLED with AOD, BT Calling, Pr...more",Nervfit,1505.0,2499.0,44.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,39.8,False,8.0,3,2,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1470.0,1478.0,70.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,0.5,True,8.0,3,1,False
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,1349.0,1365.0,62.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,1.2,True,8.0,5,2,False
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1505.0,24999.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,94.0,False,8.0,1,1,False
Melbon Gen9 Trendy Design–The Perfect Valentine’s Gift for Your L...more,Melbon,1349.0,1461.0,71.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,Melbon,Melbon,7.7,True,8.0,3,1,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1467.0,1470.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",WTG,WTG,0.2,True,8.0,1,2,False
"Maxima Max Pro Velocity 1.83""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,2099.0,2099.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Maxima,Maxima,0.0,True,8.0,1,2,False
